,Name,Tm,mlbID,key_bbref
1,Cory Abbott,Chicago,676265,abbotco01
2,CJ Abrams,"San Diego,Washington",682928,abramcj01
3,Jos\xc3\xa9 Abreu,"Chicago,Houston",547989,abreujo02
4,Wilyer Abreu,Boston,677800,abreuwi02
5,Ronald Acu\xc3\xb1a Jr.,Atlanta,660670,acunaro01
6,Willy Adames,"Milwaukee,Tampa Bay",642715,adamewi01
7,Jordyn Adams,Los Angeles,677941,adamsjo03
8,Matt Adams,Colorado,571431,adamsma01
9,Riley Adams,"Toronto,Washington",656180,adamsri03
10,Jo Adell,Los Angeles,666176,adelljo01
11,Joan Adon,Washington,672851,adonjo01
12,Ehire Adrianza,"Atlanta,Los Angeles,Washington",501303,adriaeh01
13,Jes\xc3\xbas Aguilar,"Baltimore,Miami,Oakland",542583,aguilje01
14,Ryan Aguilar,Los Angeles,666922,aguilry01
15,Nick Ahmed,"Arizona,San Francisco",605113,ahmedni01
16,Keegan Akin,Baltimore,669211,akinke01
17,Shogo Akiyama,Cincinnati,673451,akiyash01
18,R.J. Alaniz,Cincinnati,595798,alanirj01
19,Hanser Alberto,"Chicago,Kansas City,Los Angeles",593643,alberha01
20,Ozzie Albies,Atlanta,645277,albieoz01
21,Sandy Alc\xc3\xa1ntara,Miami,645261,alcansa01
22,Sergio Alc\xc3\xa1ntara,"Arizona,Chicago,San Diego",642727,alcanse01
23,Blaze Alexander,Arizona,677942,alexabl01
24,Tyler Alexander,Detroit,641302,alexaty01
25,Jorge Alfaro,"Boston,Colorado,Miami,San Diego",595751,alfarjo01
27,Anthony Alford,Pittsburgh,546990,alforan01
28,Kolby Allard,Texas,663465,allarko01
29,Austin Allen,Oakland,664119,allenau01
30,Greg Allen,"New York,Pittsburgh",656185,allengr01
31,Logan Allen,Cleveland,663531,allenlo01
32,Nick Allen,Oakland,669397,allenni02
33,Abraham Almonte,"Atlanta,Boston,New York",501659,almonab01
34,Yency Almonte,Colorado,622075,almonye01
35,Albert Almora,"Cincinnati,New York",546991,almoral01
36,Pete Alonso,New York,624413,alonspe01
37,Jose Altuve,Houston,514888,altuvjo01
38,Jake Alu,Washington,666906,aluja01
39,Jos\xc3\xa9 Alvarado,Philadelphia,621237,alvarjo03
40,Eddy Alvarez,"Los Angeles,Miami",657193,alvared01
41,Francisco Alvarez,New York,682626,alvarfr01
42,Jos\xc3\xa9 \xc3\x81lvarez,San Francisco,501625,alvarjo02
43,Yordan Alvarez,Houston,670541,alvaryo01
44,Adbert Alzolay,Chicago,640470,alzolad01
45,Jacob Amaya,"Houston,Miami",676070,amayaja01
46,Miguel Amaya,Chicago,665804,amayami01
47,Trey Amburgey,New York,664011,amburtr01
48,Brett Anderson,Milwaukee,474463,anderbr04
49,Brian Anderson,"Miami,Milwaukee",605119,anderbr06
50,Chase Anderson,Philadelphia,502624,anderch01
