Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,1,2023-04-29,PIT,@,WSN,"W,16-1",7-8,,99,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2.26,7.0,26,16,3,3,2,4,2,1,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.0,0.001,0.0,0.00%,1.02,5.9,9.0,7b --- 0 out a13,8b 3 out a13,2.0,2023-04-29,134,120,718399,2023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,2,2023-05-03,PIT,@,TBR,"L,1-8",7-GF(8),,3,2.0,4.0,2.0,2.0,0.0,3.0,1.0,0,4.5,4.51,10.0,39,24,9,4,5,2,1,0,0,,0,0,0,0,0,10,1.0,0.0,0.0,0,0,0,0.02,-0.007,0.02,-0.01%,-1.0,4.1,9.0,7b --- 0 out d5,8b end d 7,,2023-05-03,134,139,718328,2023,2.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
3,3,2023-05-06,PIT,,TOR,"L,2-8",6-7,,2,2.0,2.0,1.0,1.0,3.0,1.0,0.0,1,4.5,5.76,11.0,39,18,8,1,2,4,1,0,0,,0,0,0,0,0,7,1.0,0.0,0.0,1,0,0,0.08,-0.003,0.09,0.00%,0.05,0.9,6.0,6t --- 0 out d7,7t 3 out d7,,2023-05-06,134,141,718286,2023,2.0,4.0,5.0,17.0,1.0,2.0,2.0,0.0,4.0,2.0,9.0,4.5,1.25,4.0,5.0,17.0,1.0,2.0,2.0,0.0,4.0,2.0,9.0,4.5,1.25,4.0,5.0,17.0,1.0,2.0,2.0,0.0,4.0,2.0,9.0,4.5,1.25
4,4,2023-05-29,PIT,@,SFG,"L,4-14",7-7,,22,0.1,6.0,8.0,8.0,2.0,0.0,1.0,0,15.63,8.62,9.0,38,18,9,0,2,5,4,0,0,,0,0,0,0,0,7,2.0,0.0,0.0,0,0,0,0.13,-0.058,0.14,-0.04%,-7.18,-20.05,-23.0,7b --- 0 out d3,7b -2- 1 out d10,,2023-05-29,134,137,717978,2023,0.333,6.0,7.0,28.0,1.0,3.0,3.0,3.0,5.0,3.0,12.0,4.5,1.667,6.0,7.0,28.0,1.0,3.0,3.0,3.0,5.0,3.0,12.0,4.5,1.667,6.0,7.0,28.0,1.0,3.0,3.0,3.0,5.0,3.0,12.0,4.5,1.667
5,5,2023-06-02,PIT,,STL,"W,7-5",6-7,,3,1.2,2.0,0.0,0.0,4.0,2.0,0.0,0,12.38,8.51,11.0,46,18,7,3,2,3,2,0,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.31,0.006,0.38,0.00%,0.26,4.15,11.0,6t --- 0 out d5,7t 123 2 out d4,,2023-06-02,134,138,717930,2023,1.667,6.333,13.0,37.0,2.0,11.0,11.0,5.0,5.0,6.0,23.0,15.632,2.842,6.333,13.0,37.0,2.0,11.0,11.0,5.0,5.0,6.0,23.0,15.632,2.842,6.333,13.0,37.0,2.0,11.0,11.0,5.0,5.0,6.0,23.0,15.632,2.842
6,6,2023-06-28,PIT,,SDP,"W,7-1",9-GF,,25,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0,11.0,8.03,6.0,29,19,6,1,1,3,1,0,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.09,0.003,0.04,0.00%,0.53,2.45,6.0,9t --- 0 out a6,9t end a 6,,2023-06-28,134,135,717585,2023,1.0,8.0,15.0,48.0,2.0,11.0,11.0,9.0,7.0,6.0,25.0,12.375,3.0,8.0,15.0,48.0,2.0,11.0,11.0,9.0,7.0,6.0,25.0,12.375,3.0,8.0,15.0,48.0,2.0,11.0,11.0,9.0,7.0,6.0,25.0,12.375,3.0
7,7,2023-07-16,PIT,,SFG,"L,4-8",5-6,,17,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0,9.9,7.16,4.0,21,12,1,3,0,2,2,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.57,0.015,0.09,0.00%,0.14,5.65,9.0,5t --- 0 out d2,6t 1-- 0 out d2,,2023-07-16,134,137,717388,2023,1.0,9.0,17.0,54.0,2.0,11.0,11.0,10.0,8.0,6.0,27.0,11.0,3.0,7.0,16.0,47.0,2.0,11.0,11.0,10.0,7.0,6.0,26.0,14.143,3.714,9.0,17.0,54.0,2.0,11.0,11.0,10.0,8.0,6.0,27.0,11.0,3.0
8,8,2023-08-13,PIT,,CIN,"L,5-6",6-6,H(1),27,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0,9.0,7.07,5.0,22,14,3,1,1,3,3,0,0,,1,0,0,0,0,4,0.0,0.0,0.0,1,0,0,2.38,0.14,0.2,0.01%,0.91,0.45,3.0,6t 1-- 0 out a1,6t 3 out a1,2.0,2023-08-13,134,113,717027,2023,1.0,10.0,18.0,58.0,2.0,11.0,11.0,10.0,10.0,6.0,28.0,9.9,2.8,6.0,13.0,41.0,1.0,9.0,9.0,10.0,6.0,4.0,19.0,13.5,3.833,10.0,18.0,58.0,2.0,11.0,11.0,10.0,10.0,6.0,28.0,9.9,2.8
9,9,2023-08-27,PIT,,CHC,"L,1-10",5-7,,13,2.1,1.0,0.0,0.0,1.0,4.0,0.0,0,7.43,6.03,9.0,41,31,8,6,2,2,2,0,0,,1,1,0,0,0,8,1.0,0.0,0.0,0,0,0,0.17,-0.017,0.0,0.00%,0.38,12.05,19.0,5t -2- 2 out d4,7t 3 out d5,,2023-08-27,134,112,716834,2023,2.333,11.0,20.0,63.0,2.0,11.0,11.0,11.0,10.0,6.0,30.0,9.0,2.818,5.0,13.0,35.0,1.0,8.0,8.0,8.0,5.0,3.0,18.0,14.4,4.2,11.0,20.0,63.0,2.0,11.0,11.0,11.0,10.0,6.0,30.0,9.0,2.818
10,10,2023-08-29,PIT,@,KCR,"W,6-3",9-GF,,1,1.0,3.0,2.0,2.0,0.0,2.0,0.0,0,8.16,5.56,6.0,22,13,1,2,2,2,2,0,0,,0,0,0,0,0,6,1.0,0.0,0.0,0,0,0,0.32,0.008,0.0,0.00%,-1.48,0.45,3.0,9b --- 0 out a5,9b end a 3,,2023-08-29,134,118,716793,2023,1.0,13.333,21.0,72.0,2.0,11.0,11.0,12.0,14.0,7.0,32.0,7.425,2.475,7.0,8.0,35.0,0.0,0.0,0.0,7.0,9.0,1.0,9.0,0.0,2.143,13.333,21.0,72.0,2.0,11.0,11.0,12.0,14.0,7.0,32.0,7.425,2.475
11,11,2023-09-02,PIT,@,STL,"W,7-6",8-8,W(1-0),3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7.63,5.28,3.0,17,10,2,2,0,2,2,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.42,0.033,0.0,0.00%,0.53,8.25,12.0,8b --- 0 out d1,8b 3 out d1,,2023-09-02,134,138,716744,2023,1.0,14.333,24.0,78.0,2.0,13.0,13.0,12.0,16.0,8.0,36.0,8.163,2.512,6.333,9.0,30.0,0.0,2.0,2.0,3.0,9.0,2.0,11.0,2.842,1.895,14.333,24.0,78.0,2.0,13.0,13.0,12.0,16.0,8.0,36.0,8.163,2.512
12,12,2023-09-03,PIT,@,STL,"L,4-6",7-8,,0,0.2,0.0,0.0,0.0,2.0,2.0,0.0,0,7.31,5.32,4.0,23,11,4,2,0,0,0,0,0,,1,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.32,-0.003,0.01,0.00%,-0.17,4.3,8.0,7b 1-- 2 out d3,8b 12- 1 out d2,,2023-09-03,134,138,716733,2023,0.667,15.333,24.0,81.0,2.0,13.0,13.0,12.0,17.0,8.0,36.0,7.63,2.348,6.333,7.0,27.0,0.0,2.0,2.0,2.0,9.0,2.0,9.0,2.842,1.421,15.333,24.0,81.0,2.0,13.0,13.0,12.0,17.0,8.0,36.0,7.63,2.348
13,13,2023-09-06,PIT,,MIL,"W,5-4",5-6,,2,1.1,2.0,0.0,0.0,1.0,2.0,0.0,0,6.75,5.1,7.0,35,19,4,6,1,3,1,0,0,,0,0,1,0,0,6,0.0,0.0,0.0,0,0,0,0.69,0.049,0.0,0.00%,0.63,5.2,10.0,5t --- 2 out d2,6t 3 out d2,,2023-09-06,134,158,716697,2023,1.333,16.0,24.0,85.0,2.0,13.0,13.0,14.0,19.0,8.0,36.0,7.312,2.375,6.0,6.0,27.0,0.0,2.0,2.0,4.0,9.0,2.0,8.0,3.0,1.667,16.0,24.0,85.0,2.0,13.0,13.0,14.0,19.0,8.0,36.0,7.312,2.375
