Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,1.0,2023-06-16,PIT,@,MIL,"L,4-5",6-7,,99.0,1.1,1.0,1.0,1.0,1.0,2.0,1.0,0,6.75,12.26,6.0,26,18,6,4,2.0,1.0,0,0,0,,0.0,0.0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.44,-0.028,0.56,-0.02%,-0.24,3.8,7.0,6b --- 0 out d2,7b --- 1 out d1,,2023-06-16,134,158,717740,2023,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,2.0,2023-06-18,PIT,@,MIL,"L,2-5",5-6,,1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0,3.38,7.76,4.0,10,7,1,0,2.0,2.0,2,0,0,,1.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,1.18,0.125,1.26,0.08%,0.76,3.0,4.0,5b 1-- 2 out a1,6b 3 out a1,,2023-06-18,134,158,717710,2023,1.333,1.333,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,6.75,1.5,1.333,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,6.75,1.5,1.333,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,6.75,1.5
3.0,3.0,2023-06-20,PIT,,CHC,"L,0-4",7-7,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.45,6.8,4.0,14,7,3,1,1.0,1.0,1,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.51,0.037,0.43,0.02%,0.53,3.65,6.0,7t --- 0 out d2,7t 3 out d2,,2023-06-20,134,112,717686,2023,1.0,2.667,1.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.375,0.75,2.667,1.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.375,0.75,2.667,1.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.375,0.75
4.0,4.0,2023-06-22,PIT,@,MIA,"L,4-6",8-GF(8),BL(0-1),1.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,0,5.79,8.83,6.0,19,11,2,2,4.0,2.0,0,1,0,,3.0,3.0,0,0,0,6,0.0,0.0,0.0,0,0,0,2.29,-0.559,1.44,-0.21%,-2.62,-3.55,-3.0,8b 123 0 out a3,8b end d 2,,2023-06-22,134,146,717654,2023,1.0,3.667,1.0,14.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.455,0.545,3.667,1.0,14.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.455,0.545,3.667,1.0,14.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.455,0.545
5.0,5.0,2023-06-25,PIT,@,MIA,"L,0-2",8-GF(8),,2.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0,5.06,8.13,2.0,5,2,0,0,2.0,0.0,0,0,0,,2.0,1.0,0,0,0,2,0.0,0.0,0.0,0,0,0,1.05,-0.005,0.6,0.00%,0.45,0.9,2.0,8b -23 1 out d1,8b end d 2,,2023-06-25,134,146,717620,2023,0.667,4.667,4.0,20.0,2.0,3.0,3.0,1.0,3.0,2.0,10.0,5.786,1.071,4.667,4.0,20.0,2.0,3.0,3.0,1.0,3.0,2.0,10.0,5.786,1.071,4.667,4.0,20.0,2.0,3.0,3.0,1.0,3.0,2.0,10.0,5.786,1.071
6.0,6.0,2023-06-28,PIT,,SDP,"W,7-1",7-7,H(1),2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0,4.26,6.73,4.0,13,11,5,1,0.0,2.0,1,0,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,1.73,0.097,0.84,0.03%,0.53,5.65,9.0,7t --- 0 out a1,7t 3 out a1,,2023-06-28,134,135,717585,2023,1.0,5.333,5.0,22.0,2.0,3.0,3.0,1.0,3.0,2.0,11.0,5.062,1.125,5.333,5.0,22.0,2.0,3.0,3.0,1.0,3.0,2.0,11.0,5.062,1.125,5.333,5.0,22.0,2.0,3.0,3.0,1.0,3.0,2.0,11.0,5.062,1.125
7.0,7.0,2023-06-30,PIT,,MIL,"W,8-7",8-GF,W(1-1),1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0,3.24,5.78,8.0,31,18,5,2,1.0,4.0,3,0,0,,0.0,0.0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.28,0.036,0.2,0.02%,1.05,11.3,18.0,8t --- 0 out d3,9t end d 2,,2023-06-30,134,158,717562,2023,2.0,6.333,6.0,26.0,2.0,3.0,3.0,1.0,5.0,2.0,12.0,4.263,1.105,5.0,5.0,20.0,1.0,2.0,2.0,0.0,3.0,1.0,8.0,3.6,1.0,6.333,6.0,26.0,2.0,3.0,3.0,1.0,5.0,2.0,12.0,4.263,1.105
8.0,8.0,2023-07-02,PIT,,MIL,"L,3-6",7-8,,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,2.89,5.83,5.0,20,9,2,0,1.0,3.0,2,0,0,,1.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.8,0.028,0.53,0.01%,0.25,1.05,3.0,7t 1-- 2 out d1,8t 1-3 2 out d1,,2023-07-02,134,158,717531,2023,1.0,8.333,7.0,34.0,2.0,3.0,3.0,2.0,7.0,2.0,13.0,3.24,1.08,5.667,6.0,24.0,1.0,2.0,2.0,1.0,5.0,1.0,9.0,3.176,1.235,8.333,7.0,34.0,2.0,3.0,3.0,2.0,7.0,2.0,13.0,3.24,1.08
9.0,9.0,2023-07-04,PIT,@,LAD,"W,9-7",4-5,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2.61,5.38,3.0,12,7,1,1,1.0,1.0,1,0,0,,2.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.4,0.106,0.64,0.03%,1.21,4.25,6.0,4b 12- 1 out d1,5b --- 1 out d1,,2023-07-04,134,119,717492,2023,1.0,9.333,8.0,39.0,2.0,5.0,3.0,3.0,7.0,2.0,14.0,2.893,1.179,5.667,7.0,25.0,1.0,4.0,2.0,2.0,4.0,1.0,10.0,3.176,1.588,9.333,8.0,39.0,2.0,5.0,3.0,3.0,7.0,2.0,14.0,2.893,1.179
10.0,10.0,2023-07-09,PIT,@,ARI,"W,4-2",GS-2,,4.0,1.1,0.0,1.0,0.0,2.0,1.0,0.0,0,2.31,5.48,6.0,29,15,7,0,1.0,2.0,1,1,0,51.0,,,2,0,0,4,0.0,0.0,0.0,0,0,0,1.14,-0.028,0.27,0.00%,-0.23,3.8,7.0,1b start tie,2b --- 1 out a1,,2023-07-09,134,109,717425,2023,1.333,10.333,8.0,42.0,2.0,5.0,3.0,3.0,8.0,2.0,14.0,2.613,1.065,5.667,4.0,22.0,0.0,2.0,0.0,2.0,5.0,0.0,4.0,0.0,1.059,10.333,8.0,42.0,2.0,5.0,3.0,3.0,8.0,2.0,14.0,2.613,1.065
11.0,11.0,2023-07-15,PIT,,SFG,"L,1-3",8-8,L(1-2),5.0,0.1,1.0,2.0,1.0,1.0,0.0,0.0,0,3.0,5.67,3.0,9,5,1,0,2.0,0.0,0,0,0,,0.0,0.0,0,0,0,2,0.0,0.0,0.0,0,0,0,1.9,-0.069,0.41,-0.01%,-0.41,-2.45,-2.0,8t --- 0 out tie,8t 12- 1 out tie,,2023-07-15,134,137,717398,2023,0.333,11.667,8.0,48.0,2.0,6.0,3.0,5.0,9.0,2.0,14.0,2.314,1.114,6.333,3.0,26.0,0.0,3.0,0.0,4.0,6.0,0.0,3.0,0.0,1.105,11.667,8.0,48.0,2.0,6.0,3.0,5.0,9.0,2.0,14.0,2.314,1.114
12.0,12.0,2023-07-18,PIT,,CLE,"L,1-10",8-8,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.77,5.49,3.0,7,4,0,0,0.0,3.0,2,1,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.01,0.001,0.0,0.00%,0.53,2.25,3.0,8t --- 0 out d7,8t 3 out d7,,2023-07-18,134,114,717364,2023,1.0,12.0,9.0,51.0,2.0,8.0,4.0,6.0,9.0,2.0,15.0,3.0,1.25,5.667,3.0,25.0,0.0,5.0,1.0,5.0,4.0,0.0,3.0,1.588,1.412,12.0,9.0,51.0,2.0,8.0,4.0,6.0,9.0,2.0,15.0,3.0,1.25
13.0,13.0,2023-07-22,PIT,@,LAA,"W,3-0",7-8,H(2),3.0,1.2,1.0,0.0,0.0,0.0,3.0,0.0,0,2.45,4.82,6.0,19,13,1,7,2.0,1.0,0,1,0,,0.0,0.0,0,0,0,6,1.0,0.0,0.0,0,0,0,0.92,0.085,0.07,0.00%,0.81,9.15,14.0,7b --- 1 out a3,8b 3 out a3,,2023-07-22,134,108,717297,2023,1.667,13.0,9.0,54.0,2.0,8.0,4.0,6.0,9.0,2.0,15.0,2.769,1.154,4.667,2.0,20.0,0.0,5.0,1.0,4.0,2.0,0.0,2.0,1.929,1.286,13.0,9.0,54.0,2.0,8.0,4.0,6.0,9.0,2.0,15.0,2.769,1.154
14.0,14.0,2023-07-24,PIT,@,SDP,"W,8-4",7-8,,1.0,1.2,1.0,0.0,0.0,1.0,1.0,0.0,0,2.2,4.72,6.0,31,18,6,0,2.0,2.0,1,0,0,,0.0,0.0,0,1,0,5,0.0,0.0,0.0,0,0,0,0.47,0.044,0.03,0.00%,0.76,4.55,8.0,7b --- 1 out a4,8b 3 out a4,,2023-07-24,134,135,717276,2023,1.667,14.667,10.0,60.0,2.0,8.0,4.0,6.0,12.0,3.0,17.0,2.455,1.091,5.333,2.0,21.0,0.0,3.0,1.0,3.0,5.0,1.0,3.0,1.688,0.938,14.667,10.0,60.0,2.0,8.0,4.0,6.0,12.0,3.0,17.0,2.455,1.091
15.0,15.0,2023-07-26,PIT,@,SDP,"W,3-2",7-7,H(3),1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2.08,4.52,3.0,11,8,2,1,1.0,1.0,0,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.42,0.108,0.09,0.00%,0.5,4.25,6.0,7b --- 0 out a1,7b 3 out a1,,2023-07-26,134,135,717246,2023,1.0,16.333,11.0,66.0,2.0,8.0,4.0,7.0,13.0,3.0,18.0,2.204,1.102,6.0,3.0,24.0,0.0,3.0,1.0,4.0,5.0,1.0,4.0,1.5,1.167,16.333,11.0,66.0,2.0,8.0,4.0,7.0,13.0,3.0,18.0,2.204,1.102
16.0,16.0,2023-07-28,PIT,,PHI,"L,1-2",9-GF,,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,2.04,4.5,1.0,1,1,0,0,0.0,1.0,1,0,0,,3.0,0.0,0,0,0,1,0.0,0.0,0.0,0,0,0,2.06,0.052,0.18,0.00%,0.79,0.75,1.0,9t 123 2 out d1,9t end d 1,,2023-07-28,134,143,717234,2023,0.333,17.333,11.0,69.0,2.0,8.0,4.0,7.0,14.0,3.0,18.0,2.077,1.038,5.667,3.0,21.0,0.0,2.0,1.0,2.0,5.0,1.0,4.0,1.588,0.882,17.333,11.0,69.0,2.0,8.0,4.0,7.0,14.0,3.0,18.0,2.077,1.038
17.0,17.0,2023-07-30,PIT,,PHI,"W,6-4",7-8,,1.0,1.2,2.0,0.0,0.0,0.0,3.0,0.0,0,1.86,4.08,7.0,33,25,9,3,1.0,3.0,1,1,0,,2.0,2.0,0,0,0,7,0.0,0.0,0.0,0,0,0,1.63,-0.161,0.12,-0.01%,-0.54,8.55,14.0,7t 12- 1 out tie,8t 3 out d1,,2023-07-30,134,143,717208,2023,1.667,17.667,11.0,70.0,2.0,8.0,4.0,7.0,14.0,3.0,18.0,2.038,1.019,5.667,2.0,19.0,0.0,0.0,0.0,1.0,5.0,1.0,3.0,0.0,0.529,17.667,11.0,70.0,2.0,8.0,4.0,7.0,14.0,3.0,18.0,2.038,1.019
18.0,18.0,2023-08-04,PIT,@,MIL,"W,8-4",7-7,,4.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0,2.21,4.29,7.0,35,20,6,4,2.0,0.0,0,0,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,1.14,0.003,0.09,0.00%,-0.48,1.85,6.0,7b --- 0 out a5,7b 3 out a4,,2023-08-04,134,158,717131,2023,1.0,19.333,13.0,77.0,2.0,8.0,4.0,7.0,17.0,3.0,20.0,1.862,1.034,6.333,4.0,23.0,0.0,0.0,0.0,1.0,8.0,1.0,5.0,0.0,0.789,19.333,13.0,77.0,2.0,8.0,4.0,7.0,17.0,3.0,20.0,1.862,1.034
