Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,36.0,2021-10-02,MIL,@,LAD,"L,3-8",3-GF(8),,99.0,6.0,7.0,5.0,5.0,0.0,5.0,2.0,0,7.5,5.84,24.0,91,57,13,9,4.0,15.0,3,2,0,,0.0,0.0,0,0,0,23,2.0,0.0,0.0,1,1,0,0.24,-0.123,0.0,0.00%,-1.84,,,3b --- 0 out d2,8b end d 7,,2021-10-02,158,119,632260,2021,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,37.0,2023-04-13,MIL,@,SDP,"W,4-3",GS-6,,99.0,5.2,2.0,1.0,1.0,1.0,6.0,1.0,0,1.59,3.96,19.0,83,49,14,6,6.0,6.0,0,1,0,66.0,,,0,0,0,18,0.0,0.0,0.0,1,0,0,0.92,0.258,1.06,0.18%,1.88,20.95,32.0,1b start a 2,6b --- 2 out a2,,2023-04-13,158,135,718589,2023,5.667,6.0,7.0,24.0,2.0,5.0,5.0,0.0,5.0,4.0,15.0,7.5,1.167,6.0,7.0,24.0,2.0,5.0,5.0,0.0,5.0,4.0,15.0,7.5,1.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,38.0,2023-04-18,MIL,@,SEA,"W,6-5",GS-5,,4.0,5.0,5.0,4.0,4.0,2.0,2.0,0.0,1,4.22,4.1,23.0,73,48,17,3,7.0,11.0,5,0,0,41.0,,,0,0,0,19,1.0,0.0,0.0,0,1,0,1.16,-0.207,1.32,-0.14%,-1.57,2.45,9.0,1b start a 1,5b 3 out d1,,2023-04-18,158,136,718517,2023,5.0,11.667,9.0,43.0,3.0,6.0,6.0,1.0,11.0,5.0,20.0,4.629,0.857,11.667,9.0,43.0,3.0,6.0,6.0,1.0,11.0,5.0,20.0,4.629,0.857,5.667,2.0,19.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,1.588,0.529
3.0,39.0,2023-04-24,MIL,,DET,"L,2-4",GS-5,L(0-1),5.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,0,5.17,5.3,21.0,79,41,9,6,11.0,5.0,2,0,0,38.0,,,0,1,0,17,1.0,0.0,0.0,2,0,0,1.07,-0.202,1.26,-0.14%,-1.41,-0.15,6.0,1t start tie,5t 3 out d2,,2023-04-24,158,116,718441,2023,5.0,16.667,14.0,66.0,3.0,10.0,10.0,3.0,13.0,6.0,26.0,5.4,1.02,16.667,14.0,66.0,3.0,10.0,10.0,3.0,13.0,6.0,26.0,5.4,1.02,10.667,7.0,42.0,1.0,5.0,5.0,3.0,8.0,2.0,11.0,4.219,0.937
4.0,40.0,2023-04-30,MIL,,LAA,"L,0-3",GS-5,L(0-2),5.0,5.0,3.0,2.0,2.0,1.0,9.0,2.0,0,4.79,5.34,19.0,86,57,13,10,6.0,3.0,0,1,0,61.0,,,1,0,0,18,0.0,0.0,0.0,0,0,0,0.74,0.014,0.85,0.01%,0.6,22.85,36.0,1t start tie,5t 3 out d2,,2023-04-30,158,108,718365,2023,5.0,21.667,19.0,87.0,4.0,14.0,14.0,7.0,14.0,8.0,35.0,5.815,1.2,21.667,19.0,87.0,4.0,14.0,14.0,7.0,14.0,8.0,35.0,5.815,1.2,15.667,12.0,63.0,2.0,9.0,9.0,7.0,9.0,4.0,20.0,5.17,1.213
5.0,41.0,2023-05-06,MIL,@,SFG,"L,1-4",GS-6,L(0-3),5.0,6.0,4.0,3.0,3.0,1.0,4.0,1.0,0,4.73,5.17,23.0,89,59,14,8,9.0,9.0,1,4,0,55.0,,,0,0,0,22,1.0,0.0,0.0,0,0,0,0.53,-0.096,0.63,-0.07%,0.05,12.5,25.0,1b start tie,6b 3 out d3,,2023-05-06,158,137,718287,2023,6.0,26.667,22.0,106.0,6.0,16.0,16.0,8.0,23.0,10.0,44.0,5.4,1.125,26.667,22.0,106.0,6.0,16.0,16.0,8.0,23.0,10.0,44.0,5.4,1.125,20.667,15.0,82.0,4.0,11.0,11.0,8.0,18.0,6.0,29.0,4.79,1.113
6.0,42.0,2023-05-10,MIL,,LAD,"L,1-8",6-6,,3.0,0.2,2.0,1.0,1.0,2.0,0.0,0.0,0,4.94,5.34,6.0,27,16,3,2,1.0,3.0,1,0,0,,1.0,1.0,0,0,0,3,0.0,0.0,0.0,0,1,0,0.13,-0.028,0.16,-0.02%,-1.88,-2.9,-1.0,6t 1-- 0 out d5,6t 123 2 out d7,,2023-05-10,158,119,718228,2023,0.667,32.667,26.0,129.0,7.0,19.0,19.0,9.0,27.0,12.0,52.0,5.235,1.071,26.667,19.0,105.0,5.0,14.0,14.0,9.0,22.0,8.0,37.0,4.725,1.05,26.667,19.0,105.0,5.0,14.0,14.0,9.0,22.0,8.0,37.0,4.725,1.05
7.0,43.0,2023-05-14,MIL,,KCR,"W,9-6",GS-4,,3.0,3.2,6.0,4.0,4.0,2.0,3.0,1.0,0,5.52,5.51,19.0,81,47,13,8,6.0,8.0,5,1,0,34.0,,,0,0,0,16,1.0,0.0,0.0,0,1,0,1.08,-0.232,1.29,-0.17%,-2.03,1.45,8.0,1t start tie,4t --- 2 out a4,,2023-05-14,158,118,718177,2023,3.667,33.333,28.0,135.0,7.0,20.0,20.0,11.0,27.0,12.0,54.0,5.4,1.17,21.667,19.0,92.0,4.0,14.0,14.0,10.0,16.0,7.0,34.0,5.815,1.338,27.333,21.0,111.0,5.0,15.0,15.0,11.0,22.0,8.0,39.0,4.939,1.171
8.0,44.0,2023-05-23,MIL,,HOU,"W,6-0",GS-6,W(1-3),8.0,5.1,4.0,0.0,0.0,2.0,4.0,0.0,1,4.71,5.21,22.0,82,51,18,7,9.0,6.0,2,0,0,62.0,,,0,0,0,19,0.0,0.0,0.0,1,0,0,0.96,0.223,1.11,0.16%,2.18,19.8,34.0,1t start tie,6t 12- 1 out a2,,2023-05-23,158,117,718056,2023,5.333,37.0,34.0,154.0,8.0,24.0,24.0,13.0,30.0,14.0,64.0,5.838,1.27,20.333,20.0,88.0,5.0,14.0,14.0,10.0,17.0,8.0,38.0,6.197,1.475,31.0,27.0,130.0,6.0,19.0,19.0,13.0,25.0,10.0,49.0,5.516,1.29
9.0,45.0,2023-05-28,MIL,,SFG,"W,7-5",GS-7,W(2-3),4.0,6.0,5.0,4.0,4.0,0.0,6.0,2.0,1,4.89,5.33,24.0,90,62,18,11,8.0,9.0,3,2,0,52.0,,,0,0,0,22,0.0,0.0,0.0,0,0,0,0.49,0.046,0.6,0.03%,-0.89,17.9,30.0,1t start tie,7t --- 0 out a3,,2023-05-28,158,137,717986,2023,6.0,42.333,38.0,176.0,8.0,24.0,24.0,15.0,34.0,14.0,68.0,5.102,1.252,20.667,19.0,89.0,4.0,10.0,10.0,8.0,20.0,6.0,33.0,4.355,1.306,36.333,31.0,152.0,6.0,19.0,19.0,15.0,29.0,10.0,53.0,4.706,1.266
