Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,1,2024-03-30,CLE,@,OAK,"W,12-3",6-7,,99,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0,0.0,-0.37,7.0,34,21,6,6,1,0,0,0,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.11,0.018,0.11,0.01%,0.94,13.9,21.0,6b --- 0 out a6,7b 3 out a7,,2024-03-30,114,133,745684,2024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,2,2024-04-01,CLE,@,SEA,"L,4-5",5-6,,1,1.1,0.0,0.0,0.0,1.0,3.0,0.0,0,0.0,0.13,5.0,25,14,6,5,1,0,0,0,0,,2,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.61,0.045,0.63,0.03%,0.91,8.4,13.0,5b 12- 2 out d3,6b 3 out d2,,2024-04-01,114,136,745277,2024,1.333,2.0,0.0,7.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.5,2.0,0.0,7.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.5,2.0,0.0,7.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.5
3,3,2024-04-03,CLE,@,SEA,"W,8-0",8-8,,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.36,4.0,16,9,3,2,2,1,1,0,0,,0,0,0,0,0,4,1.0,0.0,0.0,0,0,0,0.04,0.002,0.04,0.00%,0.49,3.65,6.0,8b --- 0 out a8,8b 3 out a8,,2024-04-03,114,136,745275,2024,1.0,3.333,0.0,12.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.6,3.333,0.0,12.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.6,3.333,0.0,12.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.6
4,4,2024-04-06,CLE,@,MIN,"W,3-1",5-6,H(1),2,1.1,0.0,0.0,0.0,1.0,1.0,0.0,1,0.0,1.72,6.0,26,14,3,5,3,0,0,0,0,,2,0,0,0,0,4,0.0,0.0,0.0,0,0,0,2.5,0.103,2.91,0.07%,0.83,3.8,7.0,5b 12- 0 out a2,6b 1-3 1 out a2,,2024-04-06,114,142,745926,2024,1.333,4.333,1.0,16.0,0.0,0.0,0.0,2.0,9.0,1.0,2.0,0.0,0.692,4.333,1.0,16.0,0.0,0.0,0.0,2.0,9.0,1.0,2.0,0.0,0.692,4.333,1.0,16.0,0.0,0.0,0.0,2.0,9.0,1.0,2.0,0.0,0.692
5,5,2024-04-08,CLE,,CHW,"W,4-0",8-8,,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.63,3.0,16,11,2,3,1,1,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.3,0.023,0.33,0.02%,0.5,4.25,6.0,8t --- 0 out a4,8t 3 out a4,,2024-04-08,114,145,746654,2024,1.0,5.667,1.0,22.0,0.0,0.0,0.0,3.0,10.0,1.0,2.0,0.0,0.706,5.667,1.0,22.0,0.0,0.0,0.0,3.0,10.0,1.0,2.0,0.0,0.706,5.667,1.0,22.0,0.0,0.0,0.0,3.0,10.0,1.0,2.0,0.0,0.706
6,6,2024-04-10,CLE,,CHW,"W,7-6",7-7,,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.57,4.0,13,10,5,0,0,3,3,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,1.55,0.087,1.81,0.06%,0.5,3.65,6.0,7t --- 0 out tie,7t 3 out tie,,2024-04-10,114,145,746655,2024,1.0,6.667,1.0,25.0,0.0,0.0,0.0,3.0,11.0,1.0,2.0,0.0,0.6,6.667,1.0,25.0,0.0,0.0,0.0,3.0,11.0,1.0,2.0,0.0,0.6,6.667,1.0,25.0,0.0,0.0,0.0,3.0,11.0,1.0,2.0,0.0,0.6
7,7,2024-04-13,CLE,,NYY,"L,2-8",6-6,,2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.86,5.0,20,13,5,1,3,0,0,0,0,,0,0,0,0,0,4,1.0,0.0,0.0,0,0,0,0.1,0.003,0.11,0.00%,0.5,3.05,6.0,6t --- 0 out d7,6t 3 out d7,2.0,2024-04-13,114,147,746658,2024,1.0,7.667,2.0,29.0,0.0,0.0,0.0,3.0,12.0,1.0,3.0,0.0,0.652,5.667,2.0,22.0,0.0,0.0,0.0,2.0,7.0,1.0,3.0,0.0,0.706,7.667,2.0,29.0,0.0,0.0,0.0,3.0,12.0,1.0,3.0,0.0,0.652
8,8,2024-04-14,CLE,,NYY,"W,8-7",6-6,,0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.91,2.0,8,5,1,1,1,1,0,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.96,0.017,1.12,0.01%,0.1,0.15,1.0,6t --- 2 out tie,6t 3 out tie,,2024-04-14,114,147,746648,2024,0.333,8.667,3.0,34.0,0.0,0.0,0.0,4.0,13.0,2.0,5.0,0.0,0.808,5.333,3.0,22.0,0.0,0.0,0.0,2.0,5.0,2.0,5.0,0.0,0.937,8.667,3.0,34.0,0.0,0.0,0.0,4.0,13.0,2.0,5.0,0.0,0.808
9,9,2024-04-16,CLE,@,BOS,"W,10-7",6-6,BS(1),1,0.2,2.0,2.0,2.0,1.0,1.0,0.0,0,1.86,2.1,5.0,17,12,4,2,0,3,2,0,0,,0,0,0,0,0,4,2.0,0.0,0.0,0,0,0,1.62,-0.322,1.92,-0.23%,-1.71,-2.3,-1.0,6b --- 1 out a1,6b 3 out d1,,2024-04-16,114,111,746976,2024,0.667,9.0,4.0,36.0,0.0,0.0,0.0,4.0,13.0,2.0,6.0,0.0,0.889,4.667,3.0,20.0,0.0,0.0,0.0,2.0,4.0,1.0,4.0,0.0,1.071,9.0,4.0,36.0,0.0,0.0,0.0,4.0,13.0,2.0,6.0,0.0,0.889
10,10,2024-04-18,CLE,@,BOS,"W,5-4",6-6,,1,0.1,2.0,2.0,2.0,0.0,1.0,0.0,0,3.6,1.93,3.0,15,10,2,1,0,2,2,0,0,,1,1,0,0,0,3,0.0,1.0,0.0,0,0,0,1.15,-0.233,1.33,-0.16%,-2.75,-2.45,-2.0,6b 1-- 2 out a4,6b 3 out a1,,2024-04-18,114,111,746970,2024,0.333,9.667,6.0,41.0,0.0,2.0,2.0,5.0,14.0,4.0,10.0,1.862,1.138,4.0,5.0,19.0,0.0,2.0,2.0,2.0,4.0,3.0,8.0,4.5,1.75,9.667,6.0,41.0,0.0,2.0,2.0,5.0,14.0,4.0,10.0,1.862,1.138
