Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,1,2023-07-17,PIT,,CLE,"L,0-11",GS-6,L(0-1),99,5.1,7.0,7.0,7.0,2.0,2.0,2.0,0,11.81,8.51,25.0,73,47,9,6,12,9,4,0,0,26.0,,,0,0,0,23,3.0,0.0,0.0,0,0,0,0.63,-0.21,0.09,-0.02%,-4.4,-3.4,1.0,1t start tie,6t 1-- 1 out d7,,2023-07-17,134,114,717371,2023,5.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,2,2023-07-24,PIT,@,SDP,"W,8-4",GS-6,W(1-1),6,5.1,4.0,4.0,4.0,3.0,4.0,2.0,0,9.28,8.41,23.0,89,50,19,4,8,8,2,2,0,45.0,,,0,0,0,20,1.0,0.0,0.0,0,0,0,0.54,0.059,0.04,0.00%,-0.54,11.8,22.0,1b start tie,6b 1-- 1 out a5,,2023-07-24,134,135,717276,2023,5.333,5.333,7.0,25.0,2.0,7.0,7.0,2.0,2.0,5.0,16.0,11.812,1.688,5.333,7.0,25.0,2.0,7.0,7.0,2.0,2.0,5.0,16.0,11.812,1.688,5.333,7.0,25.0,2.0,7.0,7.0,2.0,2.0,5.0,16.0,11.812,1.688,5.333,7.0,25.0,2.0,7.0,7.0,2.0,2.0,5.0,16.0,11.812,1.688,5.333,7.0,25.0,2.0,7.0,7.0,2.0,2.0,5.0,16.0,11.812,1.688
3,3,2023-07-29,PIT,,PHI,"W,7-6",GS-6,W(2-1),4,5.0,5.0,5.0,5.0,6.0,7.0,0.0,1,9.19,7.21,25.0,85,46,12,13,3,8,5,1,0,38.0,,,0,0,0,18,3.0,0.0,0.0,1,0,0,1.27,-0.399,0.07,-0.01%,-3.22,12.05,27.0,1t start tie,6t 123 0 out a3,,2023-07-29,134,143,717216,2023,5.0,10.667,11.0,48.0,4.0,11.0,11.0,5.0,6.0,8.0,27.0,9.281,1.5,10.667,11.0,48.0,4.0,11.0,11.0,5.0,6.0,8.0,27.0,9.281,1.5,10.667,11.0,48.0,4.0,11.0,11.0,5.0,6.0,8.0,27.0,9.281,1.5,10.667,11.0,48.0,4.0,11.0,11.0,5.0,6.0,8.0,27.0,9.281,1.5,10.667,11.0,48.0,4.0,11.0,11.0,5.0,6.0,8.0,27.0,9.281,1.5
4,4,2023-08-04,PIT,@,MIL,"W,8-4",GS-5,,5,4.0,5.0,3.0,3.0,3.0,3.0,1.0,0,8.69,7.22,21.0,88,48,14,8,8,7,4,2,0,40.0,,,0,0,0,17,1.0,0.0,0.0,0,1,1,1.27,-0.078,0.1,0.00%,-0.92,4.2,12.0,1b start a 3,5b --- 0 out a3,,2023-08-04,134,158,717131,2023,4.0,15.667,16.0,73.0,4.0,16.0,16.0,11.0,13.0,11.0,35.0,9.191,1.723,15.667,16.0,73.0,4.0,16.0,16.0,11.0,13.0,11.0,35.0,9.191,1.723,15.667,16.0,73.0,4.0,16.0,16.0,11.0,13.0,11.0,35.0,9.191,1.723,15.667,16.0,73.0,4.0,16.0,16.0,11.0,13.0,11.0,35.0,9.191,1.723,15.667,16.0,73.0,4.0,16.0,16.0,11.0,13.0,11.0,35.0,9.191,1.723
5,5,2023-08-09,PIT,,ATL,"L,5-6",GS-4,,4,4.0,9.0,4.0,4.0,1.0,4.0,0.0,0,8.75,6.34,21.0,86,57,11,11,6,10,8,0,0,31.0,,,0,0,0,20,3.0,0.0,0.0,1,0,0,0.95,-0.191,0.1,-0.01%,-1.9,3.0,12.0,1t start tie,4t 3 out d4,,2023-08-09,134,144,717058,2023,4.0,19.667,21.0,94.0,5.0,19.0,19.0,14.0,16.0,13.0,44.0,8.695,1.78,19.667,21.0,94.0,5.0,19.0,19.0,14.0,16.0,13.0,44.0,8.695,1.78,19.667,21.0,94.0,5.0,19.0,19.0,14.0,16.0,13.0,44.0,8.695,1.78,14.333,14.0,69.0,3.0,12.0,12.0,12.0,14.0,8.0,28.0,7.535,1.814,19.667,21.0,94.0,5.0,19.0,19.0,14.0,16.0,13.0,44.0,8.695,1.78
6,6,2023-08-14,PIT,@,NYM,"L,2-7",GS-5,L(2-2),4,5.0,7.0,6.0,6.0,3.0,3.0,2.0,0,9.1,6.81,25.0,102,61,15,7,8,11,5,0,0,29.0,,,2,0,0,21,2.0,0.0,0.0,0,1,0,0.85,-0.365,0.04,-0.01%,-3.43,-0.75,6.0,1b start a 1,5b 3 out d4,,2023-08-14,134,121,717002,2023,5.0,23.667,30.0,115.0,5.0,23.0,23.0,15.0,20.0,16.0,56.0,8.746,1.901,23.667,30.0,115.0,5.0,23.0,23.0,15.0,20.0,16.0,56.0,8.746,1.901,23.667,30.0,115.0,5.0,23.0,23.0,15.0,20.0,16.0,56.0,8.746,1.901,13.0,19.0,67.0,1.0,12.0,12.0,10.0,14.0,8.0,29.0,8.308,2.231,23.667,30.0,115.0,5.0,23.0,23.0,15.0,20.0,16.0,56.0,8.746,1.901
7,7,2023-09-13,PIT,,WSN,"W,7-6",2-6,W(3-2),29,4.0,4.0,4.0,4.0,1.0,4.0,2.0,0,9.09,7.02,17.0,62,45,17,9,9,3,2,0,0,,0.0,0.0,0,0,0,16,1.0,0.0,0.0,0,0,0,0.55,-0.103,0.0,0.00%,-2.29,10.0,18.0,2t --- 0 out a3,6t 1-- 0 out a2,,2023-09-13,134,120,716600,2023,4.0,28.667,37.0,140.0,7.0,29.0,29.0,18.0,23.0,20.0,71.0,9.105,1.919,28.667,37.0,140.0,7.0,29.0,29.0,18.0,23.0,20.0,71.0,9.105,1.919,23.333,30.0,115.0,5.0,22.0,22.0,16.0,21.0,15.0,55.0,8.486,1.971,13.0,21.0,67.0,3.0,13.0,13.0,7.0,10.0,9.0,36.0,9.0,2.154,28.667,37.0,140.0,7.0,29.0,29.0,18.0,23.0,20.0,71.0,9.105,1.919
8,8,2023-09-19,PIT,@,CHC,"L,1-14",2-7,,5,6.0,5.0,4.0,4.0,2.0,2.0,1.0,0,8.61,6.82,25.0,91,55,15,7,10,11,5,3,0,,0.0,0.0,0,0,0,22,2.0,0.0,0.0,0,1,0,0.31,-0.126,0.0,0.00%,-0.73,5.3,12.0,2b --- 0 out d2,7b 3 out d5,,2023-09-19,134,112,716518,2023,6.0,32.667,41.0,157.0,9.0,33.0,33.0,19.0,27.0,23.0,82.0,9.092,1.837,32.667,41.0,157.0,9.0,33.0,33.0,19.0,27.0,23.0,82.0,9.092,1.837,22.0,30.0,109.0,5.0,22.0,22.0,14.0,21.0,15.0,55.0,9.0,2.0,13.0,20.0,63.0,4.0,14.0,14.0,5.0,11.0,10.0,38.0,9.692,1.923,32.667,41.0,157.0,9.0,33.0,33.0,19.0,27.0,23.0,82.0,9.092,1.837
9,9,2023-09-24,PIT,@,CIN,"L,2-4",GS-6,,4,6.0,2.0,2.0,2.0,5.0,4.0,1.0,1,7.86,6.86,25.0,92,54,12,9,10,5,2,1,0,59.0,,,0,0,0,19,0.0,0.0,0.0,1,0,0,1.11,0.062,0.0,0.00%,1.28,12.7,28.0,1b start tie,6b 3 out tie,,2023-09-24,134,113,716451,2023,6.0,38.667,46.0,182.0,10.0,37.0,37.0,21.0,29.0,26.0,92.0,8.612,1.733,38.667,46.0,182.0,10.0,37.0,37.0,21.0,29.0,26.0,92.0,8.612,1.733,23.0,30.0,109.0,6.0,21.0,21.0,10.0,16.0,15.0,57.0,8.217,1.739,15.0,16.0,67.0,5.0,14.0,14.0,6.0,9.0,10.0,36.0,8.4,1.467,38.667,46.0,182.0,10.0,37.0,37.0,21.0,29.0,26.0,92.0,8.612,1.733
10,10,2023-09-30,PIT,,MIA,"L,3-7",GS-6,L(3-3),5,5.1,10.0,4.0,4.0,1.0,3.0,1.0,1,7.74,6.74,27.0,98,64,17,9,15,7,2,1,0,34.0,,,0,0,0,24,1.0,0.0,0.0,1,0,0,1.17,-0.086,0.0,0.00%,-0.29,2.8,13.0,1t start tie,6t -23 1 out tie,,2023-09-30,134,146,716378,2023,5.333,44.667,48.0,207.0,11.0,39.0,39.0,26.0,33.0,27.0,97.0,7.858,1.657,44.667,48.0,207.0,11.0,39.0,39.0,26.0,33.0,27.0,97.0,7.858,1.657,25.0,27.0,113.0,6.0,20.0,20.0,12.0,17.0,14.0,53.0,7.2,1.56,16.0,11.0,67.0,4.0,10.0,10.0,8.0,10.0,7.0,26.0,5.625,1.188,44.667,48.0,207.0,11.0,39.0,39.0,26.0,33.0,27.0,97.0,7.858,1.657
