Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,9,2021-04-04,TEX,@,KCR,"W,7-3",6-8,,99,2.1,1.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.6,8.0,31,23,6,6,2,3,0,1,0,,0.0,0.0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.42,0.076,0.35,0.04%,1.19,,,6b --- 2 out a4,8b 3 out a4,,2021-04-04,140,118,634593,2021,2.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,10,2021-04-10,TEX,,SDP,"L,4-7",5-7,L(0-1),5,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0,4.15,5.71,9.0,41,23,5,2,2,4,2,1,0,,0.0,0.0,0,0,0,7,0.0,0.0,0.0,1,0,0,1.36,-0.238,1.17,-0.12%,-0.96,,,5t --- 1 out tie,7t --- 1 out d1,,2021-04-10,140,135,632193,2021,2.0,2.333,1.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.429,2.333,1.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.429,2.333,1.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.429,2.333,1.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.429,2.333,1.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.429
3,11,2021-04-15,TEX,@,TBR,"W,6-4",6-7,BS(1),4,1.1,0.0,1.0,1.0,4.0,1.0,0.0,0,4.76,6.88,8.0,44,19,4,6,1,2,0,0,0,,1.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,2.3,-0.14,2.01,-0.07%,-0.49,,,6b 1-- 1 out a1,7b 1-3 2 out tie,,2021-04-15,140,139,634522,2021,1.333,4.333,4.0,17.0,1.0,2.0,2.0,2.0,4.0,1.0,7.0,4.154,1.385,4.333,4.0,17.0,1.0,2.0,2.0,2.0,4.0,1.0,7.0,4.154,1.385,4.333,4.0,17.0,1.0,2.0,2.0,2.0,4.0,1.0,7.0,4.154,1.385,4.333,4.0,17.0,1.0,2.0,2.0,2.0,4.0,1.0,7.0,4.154,1.385,4.333,4.0,17.0,1.0,2.0,2.0,2.0,4.0,1.0,7.0,4.154,1.385
4,12,2021-05-14,TEX,@,HOU,"L,4-10",GS-2,L(0-2),28,1.2,3.0,3.0,3.0,3.0,2.0,0.0,0,7.36,6.72,11.0,49,31,10,2,2,4,3,0,0,36.0,,,0,0,0,7,0.0,0.0,0.0,0,1,0,1.12,-0.218,1.04,-0.12%,-2.46,,,1b start tie,2b 1-3 2 out d3,,2021-05-14,140,117,634123,2021,1.667,5.667,4.0,25.0,1.0,3.0,3.0,6.0,5.0,1.0,7.0,4.765,1.765,5.667,4.0,25.0,1.0,3.0,3.0,6.0,5.0,1.0,7.0,4.765,1.765,5.667,4.0,25.0,1.0,3.0,3.0,6.0,5.0,1.0,7.0,4.765,1.765,5.667,4.0,25.0,1.0,3.0,3.0,6.0,5.0,1.0,7.0,4.765,1.765,5.667,4.0,25.0,1.0,3.0,3.0,6.0,5.0,1.0,7.0,4.765,1.765
5,13,2021-05-26,TEX,@,LAA,"L,8-9",5-7,,11,3.0,4.0,2.0,2.0,0.0,4.0,0.0,0,6.97,4.91,12.0,56,41,9,9,4,4,1,0,0,,1.0,1.0,0,0,0,12,1.0,0.0,0.0,1,0,0,0.09,-0.018,0.06,-0.01%,-0.76,,,5b -2- 0 out d5,7b 3 out d6,,2021-05-26,140,108,633940,2021,3.0,7.333,7.0,36.0,1.0,6.0,6.0,9.0,7.0,1.0,10.0,7.364,2.182,7.333,7.0,36.0,1.0,6.0,6.0,9.0,7.0,1.0,10.0,7.364,2.182,7.333,7.0,36.0,1.0,6.0,6.0,9.0,7.0,1.0,10.0,7.364,2.182,5.0,6.0,28.0,1.0,6.0,6.0,9.0,4.0,1.0,9.0,10.8,3.0,7.333,7.0,36.0,1.0,6.0,6.0,9.0,7.0,1.0,10.0,7.364,2.182
6,14,2021-06-03,TEX,@,COL,"L,6-11",5-6,,7,2.0,6.0,4.0,4.0,1.0,0.0,0.0,0,8.76,4.87,13.0,40,25,5,0,3,9,5,0,0,,0.0,0.0,0,0,0,12,1.0,0.0,0.0,0,0,0,0.1,-0.034,0.02,-0.01%,-2.84,,,5b --- 0 out d5,6b 3 out d9,,2021-06-03,140,115,633860,2021,2.0,10.333,11.0,48.0,1.0,8.0,8.0,9.0,11.0,2.0,15.0,6.968,1.935,10.333,11.0,48.0,1.0,8.0,8.0,9.0,11.0,2.0,15.0,6.968,1.935,10.333,11.0,48.0,1.0,8.0,8.0,9.0,11.0,2.0,15.0,6.968,1.935,6.0,7.0,31.0,0.0,6.0,6.0,7.0,7.0,1.0,8.0,9.0,2.333,10.333,11.0,48.0,1.0,8.0,8.0,9.0,11.0,2.0,15.0,6.968,1.935
7,15,2021-06-24,TEX,,OAK,"L,1-5",9-GF,,20,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0,8.1,5.05,5.0,24,13,4,4,0,2,1,1,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.07,0.004,0.0,0.00%,0.52,,,9t --- 0 out d4,9t end d 4,,2021-06-24,140,133,633503,2021,1.0,12.333,17.0,61.0,1.0,12.0,12.0,10.0,11.0,3.0,22.0,8.757,2.189,12.333,17.0,61.0,1.0,12.0,12.0,10.0,11.0,3.0,22.0,8.757,2.189,10.0,16.0,53.0,1.0,12.0,12.0,10.0,8.0,3.0,21.0,10.8,2.6,6.667,13.0,36.0,0.0,9.0,9.0,4.0,6.0,2.0,15.0,12.15,2.55,12.333,17.0,61.0,1.0,12.0,12.0,10.0,11.0,3.0,22.0,8.757,2.189
8,16,2021-08-08,TEX,@,OAK,"L,3-6",8-GF(8),,44,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,7.53,4.77,4.0,22,16,2,2,0,3,1,0,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.11,0.006,0.0,0.00%,0.5,,,8b --- 0 out d3,8b end d 3,,2021-08-08,140,133,633039,2021,1.0,13.333,17.0,66.0,1.0,12.0,12.0,12.0,12.0,3.0,22.0,8.1,2.175,13.333,17.0,66.0,1.0,12.0,12.0,12.0,12.0,3.0,22.0,8.1,2.175,9.0,13.0,49.0,0.0,10.0,10.0,10.0,8.0,2.0,15.0,10.0,2.556,6.0,10.0,30.0,0.0,6.0,6.0,3.0,5.0,2.0,12.0,9.0,2.167,13.333,17.0,66.0,1.0,12.0,12.0,12.0,12.0,3.0,22.0,8.1,2.175
9,17,2021-08-25,TEX,@,CLE,"L,2-7",6-GF(8),,16,2.1,2.0,2.0,1.0,0.0,2.0,1.0,0,7.02,5.09,10.0,35,26,6,4,4,4,3,0,0,,2.0,0.0,0,0,0,10,0.0,0.0,0.0,0,0,0,0.14,-0.013,0.0,0.00%,-0.51,,,6b 12- 2 out d3,8b end d 5,,2021-08-25,140,114,632766,2021,2.333,14.333,18.0,70.0,1.0,12.0,12.0,12.0,13.0,3.0,23.0,7.535,2.093,14.333,18.0,70.0,1.0,12.0,12.0,12.0,13.0,3.0,23.0,7.535,2.093,8.667,14.0,45.0,0.0,9.0,9.0,6.0,8.0,2.0,16.0,9.346,2.308,4.0,7.0,22.0,0.0,4.0,4.0,3.0,2.0,1.0,8.0,9.0,2.5,14.333,18.0,70.0,1.0,12.0,12.0,12.0,13.0,3.0,23.0,7.535,2.093
10,18,2021-08-27,TEX,,HOU,"L,4-5",9-GF,,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,6.62,5.15,4.0,20,10,3,1,0,3,1,1,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.57,0.04,0.0,0.00%,0.52,,,9t --- 0 out d1,9t end d 1,,2021-08-27,140,117,632734,2021,1.0,16.667,20.0,80.0,2.0,14.0,13.0,12.0,15.0,4.0,28.0,7.02,1.92,16.667,20.0,80.0,2.0,14.0,13.0,12.0,15.0,4.0,28.0,7.02,1.92,9.333,13.0,44.0,1.0,8.0,7.0,3.0,8.0,3.0,18.0,6.75,1.714,4.333,3.0,19.0,1.0,2.0,1.0,2.0,4.0,1.0,6.0,2.077,1.154,16.667,20.0,80.0,2.0,14.0,13.0,12.0,15.0,4.0,28.0,7.02,1.92
