Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,25,54,2021-05-31,CHW,@,CLE,"L,1-3",4-5,,99,1.1,0,0,0,0,2,0,0,0.00,0.17,4,15,10,2,4,1,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.45,0.040,.77,0.04%,0.76,,,4b 1-- 2 out d2,5b 3 out d2,2.0,2021-05-31,145,114,634452
2,26,55,2021-06-01,CHW,@,CLE,"L,5-6",6-6,,0,1.0,0,0,0,0,1,0,0,0.00,0.60,3,16,11,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.24,0.018,.43,0.02%,0.52,,,6b --- 0 out d3,6b 3 out d3,,2021-06-01,145,114,633877
3,27,64,2021-06-12,CHW,@,DET,"W,15-2",6-7,,10,2.0,0,0,0,2,0,0,0,0.00,3.17,7,30,17,5,0,1,4,2,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,.03,0.001,.04,0.00%,1.01,,,6b --- 0 out a11,7b 3 out a11,,2021-06-12,145,116,633721
4,28,68,2021-06-16,CHW,,TBR,"W,8-7",10-GF(10),W(1-0),3,1.0,0,0,0,0,1,0,0,0.00,2.80,3,10,8,2,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,4.09,0.315,4.84,0.22%,1.16,,,10t -2- 0 out tie,10t end tie,,2021-06-16,145,139,633634
5,29,71,2021-06-19,CHW,@,HOU,"L,3-7",5-6,,2,2.0,1,0,0,1,1,0,0,0.00,3.03,7,29,16,4,3,4,1,0,1,0,,0,0,1,0,0,6,0,0,0,1,0,0,.14,0.014,.18,0.01%,1.05,,,5b --- 0 out d5,6b 3 out d5,,2021-06-19,145,117,633576
6,30,73,2021-06-22,CHW,@,PIT,"L,3-6",8-GF(8),,2,1.0,0,0,0,0,1,0,0,0.00,2.81,3,9,6,2,0,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.007,.11,0.01%,0.51,,,8b --- 0 out d3,8b end d 3,,2021-06-22,145,134,633572
7,31,74,2021-06-23,CHW,@,PIT,"W,4-3",6-6,H(1),0,0.1,0,0,0,0,0,0,0,0.00,2.82,1,3,2,0,1,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.22,0.035,1.71,0.03%,0.23,,,6b 1-- 2 out a2,6b 3 out a2,,2021-06-23,145,134,633569
8,32,77,2021-06-27,CHW,,SEA,"W,7-5",GS-2,,3,2.0,0,0,0,0,2,0,0,0.00,2.51,6,27,15,4,3,4,0,0,0,0,58,,,0,0,0,6,0,0,0,0,0,0,.74,0.114,1.13,0.11%,1.06,,,1t start tie,2t 3 out a2,,2021-06-27,145,136,633501
9,33,78,2021-06-29,CHW,,MIN,"W,7-6",7-8,H(2),1,1.1,0,0,0,0,0,0,0,0.00,2.59,4,14,9,2,0,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.89,0.093,1.33,0.08%,0.64,,,7t --- 2 out a2,8t 3 out a2,,2021-06-29,145,142,633478
10,34,80,2021-07-01,CHW,,MIN,"W,8-5",8-8,,1,1.0,1,0,0,0,0,0,0,0.00,2.63,4,20,13,4,0,2,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.62,0.025,.84,0.02%,0.53,,,8t --- 0 out a4,8t 3 out a4,,2021-07-01,145,142,633529
11,35,82,2021-07-03,CHW,@,DET,"L,5-11",5-5,,1,1.0,0,0,0,2,2,0,0,0.00,2.81,5,31,15,4,5,1,0,0,0,0,,2,1,0,0,0,3,0,0,0,0,0,0,1.86,0.009,2.07,0.01%,0.50,,,5b 12- 0 out d1,5b 3 out d2,,2021-07-03,145,116,633442
12,36,84,2021-07-05,CHW,@,MIN,"L,5-8",8-GF(8),,1,1.0,2,2,2,3,2,1,0,1.20,4.04,8,34,18,5,4,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.33,-0.099,.37,-0.07%,-1.49,,,8b --- 0 out d1,8b end d 3,,2021-07-05,145,142,633487
13,37,86,2021-07-07,CHW,@,MIN,"W,6-1",7-7,,1,1.0,0,0,0,0,0,0,0,1.13,3.98,3,6,5,2,0,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.27,0.021,.30,0.01%,0.51,,,7b --- 0 out a5,7b 3 out a5,,2021-07-07,145,142,633335
14,38,88,2021-07-10,CHW,@,BAL,"W,8-3",6-6,,2,0.2,1,0,0,0,2,0,0,1.08,3.71,3,18,13,5,2,0,1,1,0,0,,2,1,0,0,0,3,0,0,0,0,0,0,1.12,0.034,.97,0.02%,0.21,,,6b 1-3 1 out a5,6b 3 out a4,,2021-07-10,145,110,633350
15,39,93,2021-07-19,CHW,,MIN,"L,2-3",8-GF(8),,8,0.2,1,0,0,0,1,0,0,1.04,3.57,3,10,6,3,1,0,2,1,0,0,,3,2,1,0,0,2,0,0,0,0,1,0,2.59,-0.225,2.04,-0.11%,-0.39,,,8t 123 1 out tie,8t end d 2,1.0,2021-07-19,145,142,633278
16,40,95,2021-07-20,CHW,,MIN,"W,9-5",8-8,BW(2-0),0,1.0,3,2,2,0,1,1,0,1.96,4.15,6,19,11,1,2,3,2,0,0,0,,0,0,1,0,0,6,0,0,0,0,0,0,1.68,-0.425,1.31,-0.20%,-1.47,,,8t --- 0 out a1,8t 3 out d1,,2021-07-20,145,142,633268
17,41,97,2021-07-23,CHW,@,MIL,"L,1-7",7-7,,2,0.1,1,3,3,2,1,1,0,3.38,5.05,4,,,2,2,0,1,0,0,0,,2,2,0,0,0,2,0,0,0,0,0,0,.71,-0.105,.54,-0.05%,-4.39,,,7b -23 2 out d2,7b 3 out d7,,2021-07-23,145,158,633163
18,42,102,2021-07-28,CHW,@,KCR,"L,2-3",10-GF(10),L(2-1),4,0.2,1,1,0,0,0,0,0,3.26,4.98,3,5,5,0,0,3,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,3.67,-0.184,2.39,-0.07%,-0.08,,,10b -2- 0 out tie,10b end d 1,,2021-07-28,145,118,633114
19,43,103,2021-07-29,CHW,@,KCR,"L,0-5",7-GF(8),,0,2.0,0,0,0,2,0,0,0,2.95,5.09,7,22,11,2,0,2,3,1,1,0,,0,0,0,0,0,5,0,0,0,1,0,0,.05,0.005,.04,0.00%,1.07,,,7b --- 0 out d5,8b end d 5,,2021-07-29,145,118,633141
20,44,120,2021-08-17,CHW,,OAK,"W,9-0",6-7,,18,2.0,2,0,0,0,1,0,1,2.70,4.97,7,17,12,7,0,5,0,0,0,0,,0,0,0,0,0,6,0,0,0,2,0,0,.09,0.006,.04,0.00%,1.06,,,6t --- 0 out a8,7t 3 out a9,,2021-08-17,145,133,632908
21,45,122,2021-08-19,CHW,,OAK,"L,4-5",8-8,,1,1.0,0,0,0,2,2,0,0,2.59,4.98,5,24,12,5,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.54,0.031,.17,0.01%,0.53,,,8t --- 0 out d2,8t 3 out d2,,2021-08-19,145,133,632823
22,46,125,2021-08-22,CHW,@,TBR,"L,0-9",8-GF(8),,2,1.0,3,1,1,0,0,0,0,2.84,4.91,6,12,10,2,0,3,3,2,0,0,,0,0,0,0,0,5,1,0,0,0,1,0,.00,0.000,.00,0.00%,-0.51,,,8b --- 0 out d8,8b end d 9,,2021-08-22,145,139,632785
23,47,137,2021-09-05,CHW,@,KCR,"L,0-6",7-7,,13,1.0,0,0,0,1,1,0,0,2.73,4.88,4,17,11,3,4,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,.01,0.00%,0.54,,,7b --- 0 out d6,7b 3 out d6,,2021-09-05,145,118,632614
