game_id,home_team,away_team,runline,pick,Away_Batter1_Name,Away_Batter2_Name,Away_Batter3_Name,Away_Batter4_Name,Away_Batter5_Name,Away_Batter6_Name,Away_Batter7_Name,Away_Batter8_Name,Away_Batter9_Name,Home_Batter1_Name,Home_Batter2_Name,Home_Batter3_Name,Home_Batter4_Name,Home_Batter5_Name,Home_Batter6_Name,Home_Batter7_Name,Home_Batter8_Name,Home_Batter9_Name,Away_SP_Name,Home_SP_Name
776275,Detroit Tigers,Cleveland Guardians,7.0,Over,Steven Kwan,Angel Martínez,José Ramírez,David Fry,Gabriel Arias,Jhonkensy Noel,Brayan Rocchio,Austin Hedges,Nolan Jones,Parker Meadows,Gleyber Torres,Kerry Carpenter,Riley Greene,Spencer Torkelson,Wenceel Pérez,Colt Keith,Dillon Dingler,Zach McKinstry,Tanner Bibee,Tarik Skubal
776276,New York Mets,San Diego Padres,9.0,Over,Fernando Tatis Jr.,Luis Arraez,Manny Machado,Jackson Merrill,Ramón Laureano,Gavin Sheets,Ryan O'Hearn,Jake Cronenworth,Freddy Fermin,Francisco Lindor,Juan Soto,Pete Alonso,Brandon Nimmo,Mark Vientos,Jeff McNeil,Brett Baty,Luis Torrens,Cedric Mullins,Randy Vásquez,Jonah Tong
776269,Tampa Bay Rays,Toronto Blue Jays,7.5,Under,George Springer,Nathan Lukes,Vladimir Guerrero Jr.,Addison Barger,Davis Schneider,Daulton Varsho,Ernie Clement,Andrés Giménez,Tyler Heineman,Chandler Simpson,Brandon Lowe,Yandy Díaz,Josh Lowe,Jake Mangum,Tristan Gray,Hunter Feduccia,Carson Williams,Bob Seymour,Chris Bassitt,Shane Baz
776281,Boston Red Sox,Athletics,9.0,Over,Lawrence Butler,Brent Rooker,Nick Kurtz,Tyler Soderstrom,Jacob Wilson,JJ Bleday,Darell Hernaiz,Zack Gelof,Willie MacIver,Jarren Duran,Trevor Story,Alex Bregman,Masataka Yoshida,Nathaniel Lowe,Connor Wong,David Hamilton,Nate Eaton,Ceddanne Rafaela,J.T. Ginn,Brayan Bello
776272,Kansas City Royals,Seattle Mariners,9.0,Under,Randy Arozarena,Cal Raleigh,Julio Rodríguez,Josh Naylor,Jorge Polanco,Eugenio Suárez,Dominic Canzone,Leo Rivas,J.P. Crawford,Mike Yastrzemski,Bobby Witt Jr.,Vinnie Pasquantino,Maikel Garcia,Salvador Perez,Adam Frazier,Jac Caglianone,Carter Jensen,Michael Massey,Luis Castillo,Stephen Kolek
776270,Colorado Rockies,Miami Marlins,10.0,Under,Jakob Marsee,Agustín Ramírez,Liam Hicks,Otto Lopez,Graham Pauley,Eric Wagaman,Troy Johnston,Dane Myers,Javier Sanoja,Tyler Freeman,Mickey Moniak,Hunter Goodman,Jordan Beck,Ezequiel Tovar,Blaine Crim,Kyle Karros,Yanquiel Fernández,Ryan Ritter,Sandy Alcantara,Tanner Gordon
776282,Cincinnati Reds,Chicago Cubs,8.5,Under,Michael Busch,Nico Hoerner,Ian Happ,Moisés Ballesteros,Seiya Suzuki,Carson Kelly,Pete Crow-Armstrong,Dansby Swanson,Matt Shaw,TJ Friedl,Gavin Lux,Austin Hays,Sal Stewart,Will Benson,Spencer Steer,Elly De La Cruz,Tyler Stephenson,Matt McLain,Colin Rea,Hunter Greene
776278,Baltimore Orioles,New York Yankees,8.5,Under,Paul Goldschmidt,Aaron Judge,Cody Bellinger,Giancarlo Stanton,Amed Rosario,Trent Grisham,Anthony Volpe,José Caballero,Austin Wells,Ryan Mountcastle,Jordan Westburg,Gunnar Henderson,Tyler O'Neill,Jeremiah Jackson,Coby Mayo,Samuel Basallo,Jorge Mateo,Luis Vázquez,Max Fried,Cade Povich
776274,Milwaukee Brewers,Los Angeles Angels,8.0,Under,Chris Taylor,Mike Trout,Taylor Ward,Jo Adell,Luis Rengifo,Oswald Peraza,Christian Moore,Sebastián  Rivero,Denzer Guzman,Jackson Chourio,Brice Turang,William Contreras,Christian Yelich,Andrew Vaughn,Isaac Collins,Caleb Durbin,Blake Perkins,Joey Ortiz,Yusei Kikuchi,Quinn Priester
776271,Los Angeles Dodgers,San Francisco Giants,7.5,Over,Heliot Ramos,Rafael Devers,Willy Adames,Matt Chapman,Bryce Eldridge,Casey Schmitt,Jung Hoo Lee,Patrick Bailey,Drew Gilbert,Shohei Ohtani,Mookie Betts,Freddie Freeman,Max Muncy,Teoscar Hernández,Michael Conforto,Andy Pages,Miguel Rojas,Ben Rortvedt,Logan Webb,Yoshinobu Yamamoto
