Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,75 (74),2024-06-18,NYY,,BAL,"W,4-2",GS-8,4,4,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.25,0.25,0.5,6.0,0.87,-0.013,1.18,-0.01%,-0.39,3.0,3.0,1B,,2024-06-18,147,110,745733
2.0,2.0,76,2024-06-19,NYY,,BAL,"L,6-7",CG(10),5,3,0,1,0,0,0,1,1,0.0,0,0,0,1.0,0,0.0,0,0,0.286,0.333,0.286,0.619,7.0,2.13,-0.073,2.79,-0.06%,-0.12,7.0,9.5,1B,,2024-06-19,147,110,745732
3.0,3.0,77,2024-06-20,NYY,,BAL,"L,5-17",6-GF,2,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.364,0.25,0.614,6.0,0.13,0.008,0.18,0.01%,0.15,2.0,3.0,1B,,2024-06-20,147,110,745734
4.0,4.0,78,2024-06-21,NYY,,ATL,"L,1-8",CG,3,3,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.182,0.286,0.182,0.468,8.0,0.45,-0.032,0.38,-0.02%,-0.86,0.0,0.0,1B,,2024-06-21,147,144,745729
5.0,5.0,79,2024-06-22,NYY,,ATL,"W,8-3",GS-8,4,3,1,1,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.214,0.333,0.214,0.548,6.0,0.45,-0.038,0.4,-0.02%,-0.03,7.0,9.2,1B,,2024-06-22,147,144,745731
6.0,6.0,80,2024-06-23,NYY,,ATL,"L,1-3",CG,3,3,0,2,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.294,0.381,0.294,0.675,7.0,0.48,0.025,0.42,0.01%,0.15,6.0,6.0,1B,,2024-06-23,147,144,745727
7.0,7.0,81,2024-06-25,NYY,@,NYM,"L,7-9",8-GF,2,2,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.316,0.391,0.316,0.707,6.0,0.49,-0.019,0.46,-0.01%,0.23,5.0,6.2,PH 1B,,2024-06-25,147,121,745806
8.0,8.0,82,2024-06-26 00:00:00,NYY,@,NYM,"L,2-12",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.261,0.333,0.261,0.594,8.0,0.42,-0.042,0.38,-0.02%,-1.02,0.0,0.0,1B,,2024-06-26,147,121,745808
9.0,9.0,83,2024-06-27 00:00:00,NYY,@,TOR,"L,2-9",CG,4,3,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.231,0.323,0.231,0.553,5.0,0.45,-0.041,0.43,-0.02%,-0.68,2.0,3.0,1B,,2024-06-27,147,141,744919
10.0,10.0,84,2024-06-28 00:00:00,NYY,@,TOR,"W,16-5",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.231,0.323,0.231,0.553,8.0,,,,,,0.0,0.0,C,,2024-06-28,147,141,744922
11.0,11.0,85,2024-06-29 00:00:00,NYY,@,TOR,"L,3-9",CG,4,4,0,2,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,1,0.267,0.343,0.3,0.643,2.0,0.79,-0.027,0.78,-0.02%,-0.49,8.0,9.0,1B,,2024-06-29,147,141,744921
12.0,12.0,86,2024-06-30 00:00:00,NYY,@,TOR,"W,8-1",CG,5,3,2,1,1,0,0,1,2,0.0,0,0,0,0.0,0,0.0,0,0,0.273,0.375,0.333,0.708,6.0,0.4,0.047,0.41,0.03%,1.32,15.0,21.9,1B,,2024-06-30,147,141,744916
