Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,2 (1),2024-03-30,MIN,@,KCR,"W,5-1",7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,5,,,,,,0.0,0.0,PR LF,,2024-03-30,142,118,746333
2,2,3,2024-03-31,MIN,@,KCR,"L,0-11",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,9,0.05,-0.004,0.06,0.00%,-0.93,0.0,0.0,CF,,2024-03-31,142,118,746332
3,3,4,2024-04-02,MIN,@,MIL,"L,2-3",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.0,0.0,0.0,0.0,5,,,,,,0.0,0.0,PR,,2024-04-02,142,158,746009
4,4,5,2024-04-03,MIN,@,MIL,"W,7-3",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.0,0.0,0.0,0.0,2,,,,,,0.0,0.0,PR CF,,2024-04-03,142,158,746008
5,5,8 (2),2024-04-08,MIN,,LAD,"L,2-4",GS-8,2,1,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.2,0.0,0.2,9,0.71,0.014,0.61,0.01%,0.1,4.0,6.2,LF,,2024-04-08,142,119,745925
6,6,9,2024-04-09,MIN,,LAD,"L,3-6",CG,3,3,0,2,2,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.286,0.375,0.571,0.946,9,0.28,0.032,0.22,0.02%,0.48,10.0,12.0,LF,,2024-04-09,142,119,745924
7,7,10,2024-04-10,MIN,,LAD,"W,3-2",CG,3,2,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.222,0.364,0.444,0.808,6,1.21,0.001,0.9,0.00%,0.0,2.0,3.0,CF,,2024-04-10,142,119,745923
8,8,11,2024-04-12,MIN,@,DET,"L,2-8",CG,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.154,0.267,0.308,0.574,7,0.82,-0.086,0.71,-0.05%,-1.36,0.0,0.0,LF CF,,2024-04-12,142,116,746491
9,9,12,2024-04-13,MIN,@,DET,"W,11-5",CG(12),5,4,2,2,1,0,0,2,1,0.0,1,0,0,0.0,0,0.0,0,0,0.235,0.35,0.412,0.762,9,2.44,0.125,2.1,0.06%,1.45,18.0,25.4,CF 2B,1.0,2024-04-13,142,116,746489
10,10,13,2024-04-13,MIN,@,DET,"W,4-1",CG,4,4,1,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.238,0.333,0.381,0.714,5,0.67,-0.043,0.61,-0.02%,-0.84,5.0,6.2,LF,2.0,2024-04-13,142,116,746490
11,11,14,2024-04-14,MIN,@,DET,"L,3-4",CG,4,4,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.24,0.321,0.36,0.681,6,0.44,-0.025,0.43,-0.01%,-0.2,3.0,3.0,CF LF,,2024-04-14,142,116,746492
12,12,15,2024-04-15,MIN,@,BAL,"L,4-7",CG,4,4,1,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.241,0.313,0.345,0.657,8,0.54,-0.04,0.46,-0.02%,-0.23,5.0,6.2,LF,,2024-04-15,142,110,747053
13,13,17 (1),2024-04-17,MIN,@,BAL,"L,2-4",CG,4,4,1,1,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.242,0.306,0.333,0.639,7,1.56,0.127,1.14,0.06%,0.52,7.0,9.7,CF,,2024-04-17,142,110,747049
14,14,19 (1),2024-04-20,MIN,,DET,"W,4-3",CG,4,4,2,2,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.27,0.325,0.378,0.703,9,0.75,0.05,0.52,0.02%,0.4,12.0,15.4,LF,,2024-04-20,142,116,745921
15,15,20,2024-04-21,MIN,,DET,"L,1-6",CG,4,4,1,1,0,0,1,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.268,0.318,0.439,0.757,5,1.16,-0.116,0.85,-0.05%,-0.34,14.0,18.7,LF,,2024-04-21,142,116,745920
16,16,21,2024-04-22,MIN,,CHW,"W,7-0",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.244,0.292,0.4,0.692,9,0.12,-0.012,0.07,-0.01%,-0.55,0.0,0.0,CF,,2024-04-22,142,145,745916
