Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,1.0,2022-09-28,LAA,,OAK,"W,4-1",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.667,8.0,0.89,-0.025,0.0,0.00%,-0.77,3.0,3.0,C,,2022-09-28,108,133,663421,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2022-09-30,LAA,,TEX,"W,4-1",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.286,0.286,0.571,6.0,0.63,-0.042,0.0,0.00%,0.03,3.0,3.0,C,,2022-09-30,108,140,663406,2022,0.333,0.333,0.333,0.667,0.0,0.0,0.0,1.0,1.0,0.333,0.333,0.333,0.667,0.0,0.0,0.0,1.0,1.0,0.333,0.333,0.333,0.667,0.0,0.0,0.0,1.0,1.0
3.0,3.0,2022-10-02,LAA,,TEX,"W,8-3",CG,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.364,0.3,0.664,6.0,0.69,0.068,0.0,0.00%,1.19,9.0,12.7,C,,2022-10-02,108,140,663419,2022,0.286,0.286,0.286,0.571,0.0,0.0,0.0,2.0,3.0,0.286,0.286,0.286,0.571,0.0,0.0,0.0,2.0,3.0,0.286,0.286,0.286,0.571,0.0,0.0,0.0,2.0,3.0
4.0,4.0,2022-10-03,LAA,@,OAK,"L,4-5",CG(10),4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.333,0.231,0.564,7.0,0.99,-0.014,0.0,0.00%,-0.53,2.0,3.0,C,,2022-10-03,108,133,662431,2022,0.3,0.364,0.3,0.664,0.0,0.0,0.0,3.0,3.0,0.3,0.364,0.3,0.664,0.0,0.0,0.0,3.0,3.0,0.3,0.364,0.3,0.664,0.0,0.0,0.0,3.0,3.0
5.0,5.0,2022-10-05,LAA,@,OAK,"L,2-3",6-GF,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.375,0.286,0.661,9.0,1.48,0.062,0.0,0.00%,0.46,5.0,6.5,C,,2022-10-05,108,133,662421,2022,0.231,0.333,0.231,0.564,0.0,0.0,0.0,3.0,3.0,0.231,0.333,0.231,0.564,0.0,0.0,0.0,3.0,3.0,0.231,0.333,0.231,0.564,0.0,0.0,0.0,3.0,3.0
1.0,6.0,2023-03-30,LAA,@,OAK,"L,1-2",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.667,9.0,1.4,0.027,1.42,0.02%,0.08,5.0,6.5,C,,2023-03-30,108,133,718769,2023,0.286,0.375,0.286,0.661,0.0,0.0,0.0,4.0,3.0,0.286,0.375,0.286,0.661,0.0,0.0,0.0,4.0,3.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,7.0,2023-04-01,LAA,@,OAK,"W,13-1",CG,4.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333,0.286,0.5,0.786,9.0,0.54,0.153,0.5,0.09%,0.88,11.0,16.2,C,,2023-04-01,108,133,718757,2023,0.294,0.368,0.294,0.663,0.0,0.0,0.0,5.0,3.0,0.286,0.375,0.286,0.661,0.0,0.0,0.0,4.0,2.0,0.333,0.333,0.333,0.667,0.0,0.0,0.0,1.0,0.0
3.0,8.0,2023-04-02,LAA,@,OAK,"W,6-0",CG,4.0,4.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.364,0.8,1.164,8.0,0.82,0.279,0.81,0.16%,2.5,21.0,28.7,C,,2023-04-02,108,133,718734,2023,0.3,0.348,0.4,0.748,0.0,0.0,1.0,7.0,3.0,0.308,0.375,0.462,0.837,0.0,0.0,1.0,5.0,0.0,0.333,0.286,0.667,0.952,0.0,0.0,1.0,3.0,0.0
4.0,9.0,2023-04-03,LAA,@,SEA,"W,7-3",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.267,0.571,0.838,9.0,1.58,-0.145,1.69,-0.09%,-1.38,0.0,0.0,C,,2023-04-03,108,136,718720,2023,0.333,0.37,0.583,0.954,0.0,0.0,2.0,12.0,3.0,0.357,0.375,0.786,1.161,0.0,0.0,2.0,9.0,0.0,0.4,0.364,1.0,1.364,0.0,0.0,2.0,8.0,0.0
5.0,10.0,2023-04-05,LAA,@,SEA,"W,4-3",CG,4.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.263,0.667,0.93,9.0,0.96,0.105,1.03,0.07%,0.92,16.0,22.2,C,,2023-04-05,108,136,718691,2023,0.286,0.323,0.5,0.823,0.0,0.0,2.0,12.0,6.0,0.333,0.312,0.733,1.046,0.0,0.0,2.0,9.0,3.0,0.286,0.267,0.714,0.981,0.0,0.0,2.0,8.0,3.0
