Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,1.0,2024-04-10,BAL,@,BOS,"W,7-5",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.33,-0.103,1.35,-0.06%,-0.87,2.0,3.5,2B,,2024-04-10,110,111,746980,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2024-04-11,BAL,@,BOS,"W,9-4",CG(10),4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.42,-0.106,2.66,-0.07%,-0.7,4.0,6.4,2B,,2024-04-11,110,111,746977,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3.0,3.0,2024-04-12,BAL,,MIL,"L,1-11",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.37,-0.028,0.38,-0.02%,-0.57,0.0,0.0,2B,,2024-04-12,110,158,747055,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4.0,4.0,2024-04-14,BAL,,MIL,"W,6-4",CG,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.067,0.067,0.133,9.0,1.33,0.135,1.25,0.08%,0.14,5.0,6.2,2B,,2024-04-14,110,158,747056,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
5.0,5.0,2024-04-15,BAL,,MIN,"W,7-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.053,0.053,0.105,9.0,0.34,-0.034,0.36,-0.02%,-0.65,0.0,0.0,2B,,2024-04-15,110,142,747053,2024,0.067,0.067,0.067,0.133,0.0,0.0,0.0,1.0,9.0,0.067,0.067,0.067,0.133,0.0,0.0,0.0,1.0,9.0,0.067,0.067,0.067,0.133,0.0,0.0,0.0,1.0,9.0,0.091,0.091,0.091,0.182,0.0,0.0,0.0,1.0,7.0,0.067,0.067,0.067,0.133,0.0,0.0,0.0,1.0,9.0
6.0,6.0,2024-04-16,BAL,,MIN,"W,11-3",CG,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.087,0.045,0.132,8.0,0.34,-0.029,0.36,-0.02%,-0.84,4.0,6.2,2B,,2024-04-16,110,142,747051,2024,0.053,0.053,0.053,0.105,0.0,0.0,0.0,1.0,10.0,0.053,0.053,0.053,0.105,0.0,0.0,0.0,1.0,10.0,0.053,0.053,0.053,0.105,0.0,0.0,0.0,1.0,10.0,0.091,0.091,0.091,0.182,0.0,0.0,0.0,1.0,6.0,0.053,0.053,0.053,0.105,0.0,0.0,0.0,1.0,10.0
7.0,7.0,2024-04-17,BAL,,MIN,"W,4-2",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.077,0.04,0.117,9.0,1.31,-0.096,1.4,-0.06%,-0.82,0.0,0.0,2B,,2024-04-17,110,142,747049,2024,0.045,0.087,0.045,0.132,0.0,0.0,0.0,1.0,12.0,0.045,0.087,0.045,0.132,0.0,0.0,0.0,1.0,12.0,0.056,0.105,0.056,0.161,0.0,0.0,0.0,1.0,10.0,0.091,0.167,0.091,0.258,0.0,0.0,0.0,1.0,5.0,0.045,0.087,0.045,0.132,0.0,0.0,0.0,1.0,12.0
8.0,8.0,2024-04-19,BAL,@,KCR,"L,4-9",GS-7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.071,0.037,0.108,9.0,0.82,-0.041,0.93,-0.03%,-0.33,0.0,0.0,2B,,2024-04-19,110,118,746325,2024,0.04,0.077,0.04,0.117,0.0,0.0,0.0,1.0,14.0,0.04,0.077,0.04,0.117,0.0,0.0,0.0,1.0,14.0,0.059,0.111,0.059,0.17,0.0,0.0,0.0,1.0,10.0,0.0,0.091,0.0,0.091,0.0,0.0,0.0,0.0,5.0,0.04,0.077,0.04,0.117,0.0,0.0,0.0,1.0,14.0
9.0,9.0,2024-04-21,BAL,@,KCR,"W,5-0",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.094,0.033,0.127,9.0,0.55,-0.073,0.65,-0.05%,-1.27,2.0,3.0,2B,,2024-04-21,110,118,746316,2024,0.037,0.071,0.037,0.108,0.0,0.0,0.0,1.0,15.0,0.037,0.071,0.037,0.108,0.0,0.0,0.0,1.0,15.0,0.062,0.118,0.062,0.18,0.0,0.0,0.0,1.0,8.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,5.0,0.037,0.071,0.037,0.108,0.0,0.0,0.0,1.0,15.0
10.0,10.0,2024-04-23,BAL,@,LAA,"L,4-7",CG,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.111,0.059,0.17,9.0,0.57,-0.038,0.65,-0.03%,0.0,5.0,6.2,2B,,2024-04-23,110,108,746246,2024,0.033,0.094,0.033,0.127,0.0,0.0,0.0,1.0,16.0,0.033,0.094,0.033,0.127,0.0,0.0,0.0,1.0,16.0,0.0,0.118,0.0,0.118,0.0,0.0,0.0,0.0,7.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,4.0,0.033,0.094,0.033,0.127,0.0,0.0,0.0,1.0,16.0
11.0,11.0,2024-07-31 00:00:00,BAL,,TOR,"W,10-4",CG,5.0,5.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.122,0.154,0.276,8.0,0.73,0.126,0.92,0.10%,1.35,20.0,29.2,2B,,2024-07-31,110,141,747003,2024,0.059,0.111,0.059,0.17,0.0,0.0,0.0,2.0,18.0,0.059,0.111,0.059,0.17,0.0,0.0,0.0,2.0,18.0,0.067,0.176,0.067,0.243,0.0,0.0,0.0,1.0,8.0,0.111,0.2,0.111,0.311,0.0,0.0,0.0,1.0,4.0,0.059,0.111,0.059,0.17,0.0,0.0,0.0,2.0,18.0
12.0,12.0,2024-08-01 00:00:00,BAL,@,CLE,"L,3-10",CG,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.136,0.146,0.283,9.0,0.46,-0.034,0.59,-0.03%,-0.08,4.0,6.2,2B,,2024-08-01,110,114,746607,2024,0.077,0.122,0.179,0.301,0.0,0.0,1.0,6.0,19.0,0.086,0.135,0.2,0.335,0.0,0.0,1.0,6.0,17.0,0.118,0.167,0.353,0.52,0.0,0.0,1.0,5.0,7.0,0.167,0.231,0.5,0.731,0.0,0.0,1.0,5.0,4.0,0.077,0.122,0.179,0.301,0.0,0.0,1.0,6.0,19.0
