Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,1,2023-03-30,SFG,@,NYY,"L,0-5",7-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,8.0,,,,,,0.0,0.0,CF,,2023-03-30,137,147,718781
2.0,2.0,16 (14),2023-04-18,SFG,@,MIA,"L,2-4",CG,3,3,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,9.0,0.69,-0.053,0.53,-0.02%,-0.46,0.0,0.0,CF,,2023-04-18,137,146,718528
3.0,3.0,17,2023-04-19,SFG,@,MIA,"W,5-2",11-GF(11),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.0,0.0,0.0,0.0,8.0,,,,,,0.0,0.0,CF,,2023-04-19,137,146,718511
4.0,4.0,18,2023-04-20,SFG,,NYM,"L,4-9",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,9.0,0.57,-0.061,0.44,-0.03%,-0.74,0.0,0.0,CF,,2023-04-20,137,121,718503
5.0,5.0,19,2023-04-21,SFG,,NYM,"L,0-7",CG,3,3,0,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.1,0.1,0.1,0.2,9.0,0.61,0.023,0.42,0.01%,0.05,3.0,3.0,CF,,2023-04-21,137,121,718480
6.0,6.0,20,2023-04-22,SFG,,NYM,"W,7-4",6-GF,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.083,0.083,0.083,0.167,8.0,0.08,-0.004,0.05,0.00%,-0.54,0.0,0.0,CF,,2023-04-22,137,121,718478
7.0,7.0,21,2023-04-23,SFG,,NYM,"W,5-4",GS-7,2,2,0,0,0,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.071,0.071,0.071,0.143,9.0,1.1,0.023,0.77,0.01%,0.03,2.0,3.5,CF,,2023-04-23,137,121,718455
8.0,8.0,26 (4),2023-04-29,SFG,@,SDP,"L,11-16",4-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.071,0.071,0.071,0.143,9.0,,,,,,0.0,0.0,2B,,2023-04-29,137,135,718384
9.0,9.0,27,2023-04-30,SFG,@,SDP,"L,4-6",GS-9,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.059,0.059,0.059,0.118,9.0,0.8,-0.059,0.61,-0.03%,-0.94,0.0,0.0,2B CF,,2023-04-30,137,135,718368
10.0,10.0,28,2023-05-01,SFG,@,HOU,"L,3-7",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.05,0.05,0.05,0.1,9.0,1.17,-0.091,0.77,-0.04%,-0.79,0.0,0.0,CF,,2023-05-01,137,117,718350
11.0,11.0,29,2023-05-02,SFG,@,HOU,"W,2-0",CG,4,3,0,0,0,0,0,0,0,0.0,0,0,1,0.0,0,0.0,0,0,0.043,0.043,0.043,0.087,8.0,1.07,-0.099,0.65,-0.04%,-1.47,0.0,0.0,2B,,2023-05-02,137,117,718337
12.0,12.0,30,2023-05-03,SFG,@,HOU,"W,4-2",7-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.042,0.042,0.042,0.083,7.0,0.17,-0.004,0.11,0.00%,-0.11,0.0,0.0,2B,,2023-05-03,137,117,718326
13.0,13.0,31,2023-05-05,SFG,,MIL,"W,6-4",CG,4,3,1,1,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,2,0,0.074,0.107,0.074,0.181,8.0,0.8,0.053,0.62,0.03%,0.17,17.0,21.2,2B,,2023-05-05,137,158,718293
14.0,14.0,32,2023-05-06,SFG,,MIL,"W,4-1",CG,3,3,1,1,0,0,1,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.1,0.129,0.2,0.329,8.0,0.49,-0.002,0.42,0.00%,0.57,14.0,18.7,2B,,2023-05-06,137,158,718287
15.0,15.0,33,2023-05-07,SFG,,MIL,"L,3-7",CG,4,4,0,1,0,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.118,0.143,0.206,0.349,9.0,1.75,-0.04,1.57,-0.02%,-0.29,5.0,6.5,2B,,2023-05-07,137,158,718267
16.0,16.0,34,2023-05-08,SFG,,WSN,"L,1-5",CG,3,3,0,2,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.162,0.184,0.27,0.454,8.0,0.4,0.04,0.32,0.02%,0.94,8.0,9.0,2B CF,,2023-05-08,137,120,718260
