Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,1.0,2024-05-13,CIN,@,ARI,"L,5-6",8-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.0,,,,,,0.0,0.0,PR,,2024-05-13,113,109,747204,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2024-05-14,CIN,@,ARI,"W,6-2",GS-6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.61,-0.077,0.91,-0.03%,-0.68,0.0,0.0,LF,,2024-05-14,113,109,747205,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,3.0,2024-05-15,CIN,@,ARI,"L,1-2",GS-8,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,9.0,0.99,-0.053,0.59,-0.02%,-0.28,2.0,3.0,LF,,2024-05-15,113,109,747203,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4.0,2024-05-17,CIN,@,LAD,"L,3-7",7-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,6.0,2.37,-0.099,1.5,-0.04%,-0.65,0.0,0.0,PR,,2024-05-17,113,119,746148,2024,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.0
5.0,5.0,2024-05-18,CIN,@,LAD,"L,0-4",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.25,0.143,0.393,9.0,0.57,-0.019,0.34,-0.01%,-0.24,3.0,3.0,LF,,2024-05-18,113,119,746142,2024,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.0
6.0,6.0,2024-05-19,CIN,@,LAD,"L,2-3",7-GF(10),1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.333,0.25,0.583,1.0,2.38,0.05,1.22,0.02%,0.21,3.0,3.0,PR LF,,2024-05-19,113,119,746144,2024,0.143,0.25,0.143,0.393,0.0,0.0,0.0,1.0,1.0,0.143,0.25,0.143,0.393,0.0,0.0,0.0,1.0,1.0,0.143,0.25,0.143,0.393,0.0,0.0,0.0,1.0,1.0
7.0,7.0,2024-05-21,CIN,,SDP,"W,2-0",CG,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.308,0.2,0.508,1.0,0.8,0.009,0.36,0.00%,-0.08,4.0,6.5,LF,,2024-05-21,113,135,746716,2024,0.25,0.333,0.25,0.583,0.0,0.0,0.0,2.0,1.0,0.25,0.333,0.25,0.583,0.0,0.0,0.0,2.0,1.0,0.25,0.333,0.25,0.583,0.0,0.0,0.0,2.0,1.0
8.0,8.0,2024-05-22,CIN,,SDP,"L,3-7",GS-8,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.313,0.167,0.479,1.0,0.62,-0.033,0.32,-0.01%,-0.16,4.0,6.2,LF,,2024-05-22,113,135,746712,2024,0.2,0.308,0.2,0.508,0.0,0.0,0.0,2.0,1.0,0.25,0.364,0.25,0.614,0.0,0.0,0.0,2.0,1.0,0.2,0.308,0.2,0.508,0.0,0.0,0.0,2.0,1.0
9.0,9.0,2024-05-23,CIN,,SDP,"L,4-6",GS-7,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.214,0.368,0.214,0.583,1.0,1.61,0.112,0.76,0.03%,1.29,14.0,18.7,LF,,2024-05-23,113,135,746714,2024,0.167,0.312,0.167,0.479,0.0,0.0,0.0,2.0,1.0,0.25,0.364,0.25,0.614,0.0,0.0,0.0,2.0,0.0,0.167,0.312,0.167,0.479,0.0,0.0,0.0,2.0,1.0
10.0,10.0,2024-05-24,CIN,,LAD,"W,9-6",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.348,0.222,0.57,9.0,0.7,0.01,0.28,0.00%,-0.31,3.0,3.0,RF,,2024-05-24,113,119,746713,2024,0.214,0.368,0.214,0.583,1.0,0.0,0.0,3.0,2.0,0.3,0.429,0.3,0.729,1.0,0.0,0.0,3.0,1.0,0.214,0.368,0.214,0.583,1.0,0.0,0.0,3.0,2.0
11.0,11.0,2024-05-25,CIN,,LAD,"W,3-1",CG,4.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.286,0.385,0.333,0.718,1.0,0.74,0.068,0.33,0.02%,0.55,10.0,12.2,LF,,2024-05-25,113,119,746710,2024,0.222,0.348,0.222,0.57,1.0,0.0,0.0,4.0,5.0,0.273,0.4,0.273,0.673,1.0,0.0,0.0,3.0,4.0,0.222,0.348,0.222,0.57,1.0,0.0,0.0,4.0,5.0
