Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1,2024-06-29,COL,@,CHW,"L,3-11",9-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.00%,-0.16,0.0,0.0,PH,,2024-06-29,115,145,746778,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,2,2024-06-30,COL,@,CHW,"W,5-4",GS-10,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.23,-0.095,0.0,0.00%,-0.77,0.0,0.0,2B,,2024-06-30,115,145,746779,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2024-07-01,COL,,MIL,"W,8-7",10-GF(10),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0,,0.00%,0.0,2.0,3.2,PR,,2024-07-01,115,158,746535,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4,4,2024-07-03,COL,,MIL,"L,0-3",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.28,-0.096,0.01,0.00%,-0.9,0.0,0.0,SS,,2024-07-03,115,158,746534,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,5,2024-07-05,COL,,KCR,"W,4-2",8-GF,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,0.0,,0.00%,0.0,2.0,3.2,PR 2B,,2024-07-05,115,118,746533,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
6,6,2024-07-06,COL,,KCR,"W,3-1",8-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,,,,,,0.0,0.0,PR,,2024-07-06,115,118,746529,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7,7,2024-07-07,COL,,KCR,"L,1-10",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,9,0.87,-0.003,0.0,0.00%,-0.13,3.0,3.0,2B,,2024-07-07,115,118,746530,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8,8,2024-07-08,COL,@,CIN,"L,0-6",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.077,0.077,0.154,9,1.18,-0.092,0.0,0.00%,-0.73,0.0,0.0,3B,,2024-07-08,115,113,746692,2024,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,3.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,3.0,0.167,0.167,0.167,0.333,0.0,0.0,0.0,1.0,1.0,0.333,0.333,0.333,0.667,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,3.0
9,9,2024-07-11,COL,@,CIN,"L,1-8",9-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.071,0.071,0.143,3,0.03,-0.001,0.0,0.00%,-0.25,0.0,0.0,PH,,2024-07-11,115,113,746688,2024,0.077,0.077,0.077,0.154,0.0,0.0,0.0,1.0,5.0,0.077,0.077,0.077,0.154,0.0,0.0,0.0,1.0,5.0,0.111,0.111,0.111,0.222,0.0,0.0,0.0,1.0,3.0,0.167,0.167,0.167,0.333,0.0,0.0,0.0,1.0,2.0,0.077,0.077,0.077,0.154,0.0,0.0,0.0,1.0,5.0
10,10,2024-07-12,COL,@,NYM,"L,6-7",9-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.071,0.071,0.143,1,,,,,,0.0,0.0,PR,,2024-07-12,115,121,745800,2024,0.071,0.071,0.071,0.143,0.0,0.0,0.0,1.0,6.0,0.071,0.071,0.071,0.143,0.0,0.0,0.0,1.0,6.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,3.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,3.0,0.071,0.071,0.071,0.143,0.0,0.0,0.0,1.0,6.0
